,id,original_language,title,popularity,vote_average,vote_count,genre,overview,tagline
94,634528,en,The Marksman,287.586,7.1,950,"['Action', 'Thriller', 'Crime']","Jim Hanson’s quiet life is suddenly disturbed by two people crossing the US/Mexico border – a woman and her young son – desperate to flee a Mexican cartel. After a shootout leaves the mother dead, Jim becomes the boy’s reluctant defender. He embraces his role as Miguel’s protector and will stop at nothing to get him to safety, as they go on the run from the relentless assassins.",Justice comes down to him.
95,763164,en,Apex,401.393,5.3,50,"['Action', 'Thriller', 'Science Fiction']","Ex-cop James Malone is serving a life sentence for a crime he didn’t commit. He is offered a chance at freedom if he can survive a deadly game of Apex, in which six hunters pay for the pleasure of hunting another human on a remote island. He accepts, and once he arrives, all hell breaks loose.",The hunters will be hunted.
96,464052,en,Wonder Woman 1984,267.785,6.6,6105,"['Action', 'Adventure', 'Fantasy']",A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy.,A new era of wonder begins.
97,520763,en,A Quiet Place Part II,252.028,7.7,3294,"['Science Fiction', 'Thriller', 'Horror']","Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",Silence is not enough.
98,619778,en,Malignant,233.546,7.1,979,"['Horror', 'Mystery', 'Thriller']","Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities with a mysterious tie to her past.",A new vision of terror.
99,883648,en,Little Big Mouth,239.444,4.9,13,['Comedy'],"Kicked out of his band and home, a playful guitarist takes refuge with a bookkeeper, her son and dad. Is it possible to make sweet music together?",
100,739990,en,Nightbooks,227.322,6.6,183,"['Fantasy', 'Family', 'Horror']","Alex, a boy obsessed with scary stories, is trapped by a witch in her modern, magical New York City apartment. His original hair-raising tales are the only thing keeping him safe as he desperately tries to find a way out of this twisted place.",Write for your life.
101,857702,en,LEGO Star Wars Terrifying Tales,242.303,6.6,85,"['Family', 'Animation', 'Science Fiction', 'Comedy']","Poe Dameron and BB-8 must face the greedy crime boss Graballa the Hutt, who has purchased Darth Vader’s castle and is renovating it into the galaxy’s first all-inclusive Sith-inspired luxury hotel.",Rest in pieces.
102,671,en,Harry Potter and the Philosopher's Stone,234.446,7.9,21302,"['Adventure', 'Fantasy']","Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",Let the Magic Begin.
103,315635,en,Spider-Man: Homecoming,266.445,7.4,17065,"['Action', 'Adventure', 'Science Fiction', 'Drama']","Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",Homework can wait. The city can't.
104,385687,en,Fast & Furious 10,211.849,0,0,"['Action', 'Crime']",The tenth installment in the Fast Saga.,
105,826914,en,Muppets Haunted Mansion,206.82,6.9,86,"['Comedy', 'Family', 'TV Movie']",Gonzo is challenged to spend one night in The Haunted Mansion on Halloween night.,Cue the light(ning)!
106,617502,en,Jolt,243.844,6.8,753,"['Action', 'Comedy']","Lindy is an acid-tongued woman with rage issues who controls her temper by shocking herself with an electrode vest. One day she makes a connection with Justin, who gives her a glimmer of hope for a shock-free future, but when he’s murdered she launches herself on a revenge-fueled rampage in pursuit of his killer.",You're in for a shock.
107,429617,en,Spider-Man: Far From Home,273.535,7.5,10893,"['Action', 'Adventure', 'Science Fiction']","Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",It’s time to step up.
108,800497,en,Werewolves Within,225.012,6.1,179,"['Comedy', 'Horror']","When a proposed pipeline creates hostilities between residents of a small town, a newly-arrived forest ranger must keep the peace after a snowstorm confines the townspeople to an old lodge. But when a mysterious creature begins terrorizing the group, their worst tendencies and prejudices rise to the surface, and it is up to the ranger to keep the residents alive, both from each other and the monster which plagues them.",A whodunnit with teeth.
109,537915,en,After,239.301,7.2,6704,"['Romance', 'Drama']","Tessa Young is a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart. Entering her first semester of college, Tessa's guarded world opens up when she meets Hardin Scott, a mysterious and brooding rebel who makes her question all she thought she knew about herself -- and what she wants out of life.","After your first, life is never the same."
110,587807,en,Tom & Jerry,232.966,7.1,1831,"['Comedy', 'Family', 'Animation']","Tom the cat and Jerry the mouse get kicked out of their home and relocate to a fancy New York hotel, where a scrappy employee named Kayla will lose her job if she can’t evict Jerry before a high-class wedding at the hotel. Her solution? Hiring Tom to get rid of the pesky mouse.",Best of enemies. Worst of friends.
111,559,en,Spider-Man 3,236.031,6.3,10473,"['Fantasy', 'Action', 'Adventure']","The seemingly invincible Spider-Man goes up against an all-new crop of villains—including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",The battle within.
112,585083,en,Hotel Transylvania: Transformania,190.917,0,0,"['Family', 'Animation', 'Fantasy', 'Comedy', 'Adventure']","When Van Helsing's mysterious invention, the \""Monsterfication Ray,\"" goes haywire, Drac and his monster pals are all transformed into humans, and Johnny becomes a monster. In their new mismatched bodies, Drac and Johnny must team up and race across the globe to find a cure before it's too late, and before they drive each other crazy.",Change can be scary.
113,508442,en,Soul,229.134,8.2,7165,"['Animation', 'Comedy', 'Fantasy', 'Family']","Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.",Is all this living really worth dying for?
114,567189,en,Tom Clancy's Without Remorse,223.53,7.2,1641,"['Action', 'Thriller']",An elite Navy SEAL uncovers an international conspiracy while seeking justice for the murder of his pregnant wife.,From the author of Rainbow Six.
115,449406,en,Vivo,208.114,7.7,415,"['Animation', 'Family', 'Comedy']",A music-loving kinkajou named Vivo embarks on the journey of a lifetime to fulfill his destiny and deliver a love song for an old friend.,One song can change everything.
116,522241,en,The Courier,224.855,7.2,456,"['Thriller', 'History', 'Drama']",Cold War spy Greville Wynne and his Russian source try to put an end to the Cuban Missile Crisis.,Based on the incredible true story of a Welsh businessman turned spy.
117,637693,en,Spirit Untamed,215.011,7.8,288,"['Animation', 'Adventure', 'Family', 'Western']",Lucky Prescott's life is changed forever when she moves from her home in the city to a small frontier town and befriends a wild mustang named Spirit.,Adventure awaits.
118,850818,en,"Barbie: Big City, Big Dreams",216.59,7.2,73,"['Animation', 'Music', 'Family']","Barbie swaps the sunny shores of Malibu for the bright lights of Broadway to attend an excusive summer performing arts program and meets…Barbie!  Fast friends, the two discover they share more than a name as they explore New York City and all the amazing things they have in common.  As they compete for the coveted once-in-a-lifetime Spotlight Solo from Times Square, the friends discover competition isn’t all about winning, it’s about striving to be your best, overcoming doubts, and sharing the spotlight.",
119,581644,en,The Misfits,239.557,5.6,163,['Action'],"After being recruited by a group of unconventional thieves, renowned criminal Richard Pace finds himself caught up in an elaborate gold heist that promises to have far-reaching implications on his life and the lives of countless others.",They're not bad guys. They just steal from them.
120,841755,en,Mortal Kombat Legends: Battle of the Realms,200.515,8.1,177,"['Animation', 'Action', 'Fantasy']","The Earthrealm heroes must journey to the Outworld and fight for the survival of their homeland, invaded by the forces of evil warlord Shao Kahn, in the tournament to end all tournaments: the final Mortal Kombat.",
121,15092,en,Crank: High Voltage,219.241,6,2115,"['Action', 'Thriller', 'Crime']",Chelios faces a Chinese mobster who has stolen his nearly indestructible heart and replaced it with a battery-powered ticker that requires regular jolts of electricity to keep working.,"Stay Charged, Stay Alive!"
122,522478,en,Peter Rabbit 2: The Runaway,211.56,7.4,426,"['Family', 'Comedy', 'Adventure', 'Animation', 'Fantasy']","Bea, Thomas, and the rabbits have created a makeshift family, but despite his best efforts, Peter can’t seem to shake his mischievous reputation. Adventuring out of the garden, Peter finds himself in a world where his mischief is appreciated, but when his family risks everything to come looking for him, Peter must figure out what kind of bunny he wants to be.",The garden was just the beginning.
123,400160,en,The SpongeBob Movie: Sponge on the Run,200.485,7.7,2343,"['Family', 'Animation', 'Fantasy', 'Adventure', 'Comedy']","When his best friend Gary is suddenly snatched away, SpongeBob takes Patrick on a madcap mission far beyond Bikini Bottom to save their pink-shelled pal.",They're Not in Bikini Bottom Anymore.
124,559907,en,The Green Knight,197.458,6.7,498,"['Adventure', 'Drama', 'Fantasy']","An epic fantasy adventure based on the timeless Arthurian legend, The Green Knight tells the story of Sir Gawain, King Arthur's reckless and headstrong nephew, who embarks on a daring quest to confront the eponymous Green Knight, a gigantic emerald-skinned stranger and tester of men.",When honor was everything.
125,597433,en,Beckett,203.703,6.4,383,"['Action', 'Crime', 'Drama', 'Mystery']","While vacationing in Greece, Beckett, becomes the target of a manhunt after a devastating car accident forces him to run for his life across the country to clear his name but tensions escalate as the authorities close in and political unrest mounts which makes Beckett fall even deeper into a dangerous web of conspiracy.",Born to be murdered.
126,871875,en,Escape The Undertaker,204.213,5.3,26,"['Horror', 'Mystery', 'Family']","The Undertaker has set a trap for the decorated tag team The New Day at his mansion. What they don't know: The Undertaker's mansion is an extreme Haunted House, packed to the brim with supernatural challenges. It's up to viewers to decide the fate of these poor souls trying to survive the wrath of The Undertaker.",
127,674,en,Harry Potter and the Goblet of Fire,212.082,7.8,16256,"['Adventure', 'Fantasy', 'Family']","When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.",Dark And Difficult Times Lie Ahead.
128,656940,en,Body Brokers,193.708,6.6,47,"['Thriller', 'Crime']","Utah and his girlfriend Opal, are drug addicts living on the streets in rural Ohio. After getting recruited by body broker Wood, and offered treatment in Los Angeles, Wood takes Utah under his wing and introduces him to treatment center mogul Vin. Wood and Vin bring Utah in on their lucrative and illegal dealings, where saving lives comes second to the bottom line.",Drugs. Rehab. Profit.
129,672,en,Harry Potter and the Chamber of Secrets,216.882,7.7,17203,"['Adventure', 'Fantasy']","Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",Hogwarts is back in session.
130,8960,en,Hancock,226.726,6.3,7665,"['Fantasy', 'Action']","Hancock is a down-and-out superhero who's forced to employ a PR expert to help repair his image when the public grows weary of all the damage he's inflicted during his lifesaving heroics. The agent's idea of imprisoning the antihero to make the world miss him proves successful, but will Hancock stick to his new sense of purpose or slip back into old habits?",Bad Behavior. Bad Attitude. Real Hero.
131,585216,en,Escape Room: Tournament of Champions,174.019,6.9,709,"['Horror', 'Thriller', 'Mystery']","Six people unwittingly find themselves locked in another series of escape rooms, slowly uncovering what they have in common to survive as they discover all the games that they've played before.",Winning was just the beginning.
132,638045,en,The Toll,200.391,6.2,59,"['Thriller', 'Horror']",A socially awkward driver and a weary passenger try to make it to their destination while being haunted by a supernatural threat.,You gotta pay the troll toll
133,25769,en,Carriers,203.334,5.8,815,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']","A deadly virus has spread across the globe. Contagion is everywhere, no one is safe, and no one can be trusted. Four friends race through the back roads of the American West on their way to a secluded utopian beach in the Gulf of Mexico where they could peacefully wait out the pandemic. Their plans take a grim turn when their car breaks down on an isolated road starting a chain of events that will seal their fates.","The rules are simple. You break them, you die..."
134,299534,en,Avengers: Endgame,193.86,8.3,19434,"['Adventure', 'Science Fiction', 'Action']","After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",Part of the journey is the end.
135,531219,en,Roald Dahl's The Witches,197.823,6.5,1941,"['Family', 'Fantasy', 'Adventure', 'Comedy', 'Horror']","In late 1967, a young orphaned boy goes to live with his loving grandma in the rural Alabama town of Demopolis. As the boy and his grandmother encounter some deceptively glamorous but thoroughly diabolical witches, she wisely whisks him away to a seaside resort. Regrettably, they arrive at precisely the same time that the world's Grand High Witch has gathered.",They're real!
136,673,en,Harry Potter and the Prisoner of Azkaban,208.631,8,16913,"['Adventure', 'Fantasy']","Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",Something wicked this way comes.
137,740925,en,No One Gets Out Alive,172.059,6,223,"['Horror', 'Thriller', 'Mystery']",An immigrant in search of the American dream is forced to take a room in a boarding house and soon finds herself in a nightmare from which she can't escape.,Don’t try to leave. It’ll only make things worse.
138,24428,en,The Avengers,209.584,7.7,25642,"['Science Fiction', 'Action', 'Adventure']","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",Some assembly required.
139,814780,en,Farm to Fork to Love,194.391,5.2,5,"['Romance', 'TV Movie']","Alice, a young and talented sous chef at NY's top restaurant, receives an invitation to judge a food competition for a prestigious annual fundraiser.",
140,102382,en,The Amazing Spider-Man 2,221.297,6.4,9866,"['Action', 'Adventure', 'Fantasy']","For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",No more secrets.
141,198663,en,The Maze Runner,204.576,7.2,13987,"['Action', 'Mystery', 'Science Fiction', 'Thriller']","Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.",Remember. Survive. Run.
142,11932,en,Bride of Chucky,175.452,5.9,1302,"['Horror', 'Comedy', 'Romance']","Chucky hooks up with another murderous doll, the bridal gown-clad Tiffany, for a Route 66 murder spree with their unwitting hosts.",Chucky Gets Lucky.
143,11322,en,Public Enemies,165.954,6.7,3432,"['Crime', 'History']","Depression-era bank robber John Dillinger's charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis, the task of bringing him in dead or alive.",America's Most Wanted.
144,431075,en,Polaroid,218.474,5.8,684,"['Horror', 'Thriller', 'Mystery']","High school loner Bird Fitcher has no idea what dark secrets are tied to the mysterious Polaroid vintage camera she stumbles upon, but it doesn't take long to discover that those who have their picture taken meet a tragic end. Bird and her friends must survive one more night as they race to solve the mystery of the haunted Polaroid before it kills them all.","Beware This Camera...Once You Take It, It Takes You."
145,159211,en,The Haunting of Helena,173.551,5.6,115,"['Horror', 'Thriller']","After a divorce, Sophia moves to the south of Italy with her daughter, Helena. Their new home, an apartment within an austere building of the fascist age, is a chance for them to start a new life. But inside an old storage room hides a mysterious closet and a buried secret. After the loss of Helena’s first baby tooth, a chilling obsession begins and an apparition haunts her sleep...",She's coming for her.
146,12445,en,Harry Potter and the Deathly Hallows: Part 2,191.193,8.1,16362,"['Fantasy', 'Adventure']","Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",It all ends here.
147,22894,en,Legion,189.34,5.7,1933,"['Horror', 'Action', 'Fantasy']","When God loses faith in humankind, he sends his legion of angels to bring on the Apocalypse. Humanity's only hope for survival lies in a group of strangers trapped in an out-of-the-way, desert diner with the Archangel Michael.","When the last angel falls, the fight for mankind begins."
148,834404,en,Teen Titans Go! See Space Jam,199.353,7,143,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Science Fiction']","The Teen Titans are visited by the Nerdlucks, the Space Jam villains who tried to capture Michael Jordan and the Looney Tunes. Astonished to discover his fellow Titans have never seen Space Jam, Cyborg organizes an exclusive watch party. Of course, if the Titans are watching a movie, don't expect silence to be golden. Raven and Starfire provide the commentary, Cyborg presents the fun facts, Beast Boy points out the butt shots, and Robin, but Robin doesn't trust their new alien friends. Are the Nerdlucks here to attend an innocent watch party, or do they have more sinister motives up their sleeves?",
149,557,en,Spider-Man,221.416,7.2,14296,"['Fantasy', 'Action']","After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.",Go for the ultimate spin.
150,763532,en,Long Story Short,179.125,7.4,51,"['Romance', 'Comedy', 'Fantasy']","Teddy wakes up the morning after his wedding to discover that he's jumped forward a year in his life to his first anniversary. Trapped in an endless cycle of time jumps, transported another year ahead every few minutes, he is faced with a race against time as his life crumbles around him.",Love... blink and you'll miss it.
151,615658,en,Awake,194.284,6,708,"['Drama', 'Science Fiction', 'Thriller']","After a sudden global event wipes out all electronics and takes away humankind’s ability to sleep, chaos quickly begins to consume the world. Only Jill, an ex-soldier with a troubled past, may hold the key to a cure in the form of her own daughter. The question is, can Jill safely deliver her daughter and save the world before she herself loses her mind.",Disorientation. Hallucinations. Hysteria. Sleep is survival.
152,12444,en,Harry Potter and the Deathly Hallows: Part 1,186.846,7.8,15180,"['Adventure', 'Fantasy']","Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",One Way… One Fate… One Hero.
153,512025,en,There's Someone Inside Your House,181.842,5.7,259,"['Horror', 'Thriller', 'Mystery']","As the countdown to graduation begins, students at Osborne High are being stalked by a maniac intent on exposing their darkest secrets to the entire town, terrorizing victims while wearing a life-like mask of their own face. With a mysterious past of her own, Makani and her friends must discover the killer's identity before they become victims themselves.",Everyone has a secret to die for.
154,767,en,Harry Potter and the Half-Blood Prince,188.106,7.7,15241,"['Adventure', 'Fantasy']","As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.",Dark Secrets Revealed
155,615457,en,Nobody,191.625,8.3,3624,"['Action', 'Crime', 'Thriller', 'Drama']","Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.",Never underestimate a nobody.
156,38234,en,Undisputed III: Redemption,200.045,7.5,569,"['Action', 'Thriller']","Russian inmate Boyka, now severely hobbled by the knee injury suffered at the end of Undisputed 2. No longer the feared prison fighter he was, he has declined so far that he is now good only for cleaning toilets. But when a new prison fight tournament begins - an international affair, matching the best fighters from prisons around the globe, enticing them with the promise of freedom for the winner - Boyka must reclaim his dignity and fight for his position in the tournament.",One deadly tournament. Last fight for freedom.
157,565028,en,Candyman,167.154,6.4,564,"['Horror', 'Thriller']","Anthony and his partner move into a loft in the now gentrified Cabrini-Green, and after a chance encounter with an old-timer exposes Anthony to the true story behind Candyman, he unknowingly opens a door to a complex past that unravels his own sanity and unleashes a terrifying wave of violence.",Dare to say his name.
158,550205,en,Wish Dragon,182.12,8.2,663,"['Animation', 'Family', 'Comedy', 'Fantasy']",Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,Three magical wishes. One life changing adventure.
159,876576,en,Go! Go! Cory Carson: Chrissy Takes the Wheel,155.155,5.5,8,"['Animation', 'Family']","From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",
160,24021,en,The Twilight Saga: Eclipse,183.118,6.2,7154,"['Adventure', 'Fantasy', 'Drama', 'Romance']","Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.",It all begins... with a choice.
161,337401,en,Mulan,165.655,7,5239,"['Adventure', 'Fantasy']","When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns, Hua Mulan, the eldest daughter of an honored warrior, steps in to take the place of her ailing father. She is spirited, determined and quick on her feet. Disguised as a man by the name of Hua Jun, she is tested every step of the way and must harness her innermost strength and embrace her true potential.",
162,809314,en,Trigger Point,181.905,6.6,86,"['Action', 'Thriller']",Nicolas Shaw is a retired U.S. special operative who becomes part of an elite 'invisible' team that quietly takes out the worst villains around the world.,Everyone breaks.
163,22832,en,Ninja Assassin,158.219,6.5,1053,['Action'],"Ninja Assassin follows Raizo, one of the deadliest assassins in the world. Taken from the streets as a child, he was transformed into a trained killer by the Ozunu Clan, a secret society whose very existence is considered a myth. But haunted by the merciless execution of his friend by the Clan, Raizo breaks free from them and vanishes. Now he waits, preparing to exact his revenge.","Fear not the weapon, but the hand that wields it."
164,618162,en,The Harder They Fall,264.246,6.6,197,['Western'],"Gunning for revenge, outlaw Nat Love saddles up with his gang to take down enemy Rufus Buck, a ruthless crime boss who just got sprung from prison.",A new day is dawning.
165,13475,en,Star Trek,170.815,7.4,8170,"['Science Fiction', 'Action', 'Adventure']","The fate of the galaxy rests in the hands of bitter rivals. One, James Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, a Vulcan, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. The human adventure has begun again.",The future begins.
166,32657,en,Percy Jackson & the Olympians: The Lightning Thief,172.953,6.2,6008,"['Adventure', 'Fantasy', 'Family']","Accident prone teenager, Percy discovers he's actually a demi-God, the son of Poseidon, and he is needed when Zeus' lightning is stolen. Percy must master his new found skills in order to prevent a war between the Gods that could devastate the entire world.",Worlds collide.
167,474350,en,It Chapter Two,165.741,6.9,6418,"['Horror', 'Fantasy']","27 years after overcoming the malevolent supernatural entity Pennywise, the former members of the Losers' Club, who have grown up and moved away from Derry, are brought back together by a devastating phone call.",You'll Float Again
168,590706,en,Jiu Jitsu,165.469,5.1,445,"['Fantasy', 'Action', 'Science Fiction']","Every six years, an ancient order of jiu-jitsu fighters joins forces to battle a vicious race of alien invaders. But when a celebrated war hero goes down in defeat, the fate of the planet and mankind hangs in the balance.","From the darkness, the ultimate fighter rises."
169,675,en,Harry Potter and the Order of the Phoenix,175.883,7.7,15479,"['Adventure', 'Fantasy', 'Mystery']","The rebellion begins! Lord Voldemort has returned, but the Ministry of Magic is doing everything it can to keep the wizarding world from knowing the truth – including appointing Ministry official Dolores Umbridge as the new Defence Against the Dark Arts professor at Hogwarts. When Umbridge refuses to teach practical defensive magic, Ron and Hermione convince Harry to secretly train a select group of students for the wizarding war that lies ahead. A terrifying showdown between good and evil awaits in this enthralling film version of the fifth novel in J.K. Rowling’s Harry Potter series. Prepare for battle!",Evil Must Be Confronted.
170,91314,en,Transformers: Age of Extinction,166.524,5.9,6392,"['Science Fiction', 'Action', 'Adventure']","As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",This is not war. It's extinction.
171,848932,en,粉色樱与大眠王,169.603,4.5,2,['Romance'],"The male lead is the king of a small island nation. He was previously badly hurt by the female lead. The female lead has a canine tooth that makes her look extremely captivating when she smiles. When the female lead vanished, the male lead became extremely fond of sleeping because he did not want to miss her. As fate would have it, the male lead married the female lead in the end. He decided to properly torment that adorable yet horrible woman for a while",Why Women Cheat
172,347626,en,He's All That,176.343,6.9,679,"['Comedy', 'Romance']","To get revenge on her ex-boyfriend, an influencer attempts to transform an unpopular classmate into prom king.",It's his turn for a makeover.
173,862,en,Toy Story,153.86,8,14635,"['Animation', 'Adventure', 'Family', 'Comedy']","Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",
174,330457,en,Frozen II,166.097,7.3,7740,"['Family', 'Animation', 'Adventure', 'Comedy', 'Fantasy']","Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom.",The past is not what it seems.
175,10138,en,Iron Man 2,177.523,6.8,16914,"['Adventure', 'Action', 'Science Fiction']","With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.","It's not the armor that makes the hero, but the man inside."
176,335797,en,Sing,154.993,7.1,6280,"['Family', 'Animation', 'Music', 'Comedy', 'Drama']",A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.,Auditions begin 2016.
177,646207,en,The Ice Road,151.124,7.2,730,"['Action', 'Adventure', 'Drama', 'Thriller']","After a remote diamond mine collapses in far northern Canada, an ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners.",This mission is on thin ice.
178,743439,en,PAW Patrol: Jet to the Rescue,157.469,0,0,"['Family', 'Animation']","Get ready to zoom back to Barkingburg with the pups in this all-new TV movie! When the scheming DUKE of Flappington steals a powerful levitation gem from the royal castle, it’s up to the PAW Patrol to jet to the rescue before the town is lost forever! Then join the PAW Patrol in even more high-flying adventures where they will save a stunt pilot, one of Mayor Humdinger’s kittens, and even Skye when she breaks her wing flying to Jake’s Mountain!",
179,811367,en,22 vs. Earth,157.116,7.1,218,"['Family', 'Comedy', 'Fantasy', 'Animation']","Set before the events of ‘Soul’, 22 refuses to go to Earth, enlisting a gang of 5 new souls in attempt of rebellion. However, 22’s subversive plot leads to a surprising revelation about the meaning of life.",
180,324857,en,Spider-Man: Into the Spider-Verse,162.399,8.4,10126,"['Action', 'Adventure', 'Animation', 'Science Fiction', 'Comedy']","Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",More Than One Wears the Mask
181,72331,en,Abraham Lincoln: Vampire Hunter,153.492,5.7,2625,"['Action', 'Fantasy', 'Horror']","President Lincoln's mother is killed by a supernatural creature, which fuels his passion to crush vampires and their slave-owning helpers.",Are you a patriot or a vampire?
