,id,original_language,title,popularity,vote_average,vote_count,genre,overview,tagline
23,451048,en,Jungle Cruise,683.909,7.8,3111,"['Adventure', 'Fantasy', 'Comedy', 'Action']","Dr. Lily Houghton enlists the aid of wisecracking skipper Frank Wolff to take her down the Amazon in his dilapidated boat. Together, they search for an ancient tree that holds the power to heal – a discovery that will change the future of medicine.",
24,508943,en,Luca,639.636,8,5020,"['Animation', 'Comedy', 'Family', 'Fantasy']",Luca and his best friend Alberto experience an unforgettable summer on the Italian Riviera. But all the fun is threatened by a deeply-held secret: they are sea monsters from another world just below the water’s surface.,
25,497698,en,Black Widow,624.488,7.7,5823,"['Action', 'Adventure', 'Science Fiction']","Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.",Her world. Her secrets. Her legacy.
26,760195,en,Separation,557.939,6,77,['Horror'],A young girl finds solace in her artist father and the ghost of her dead mother.,It won't let go.
27,675445,en,PAW Patrol: The Movie,596.854,7.7,660,"['Animation', 'Family', 'Adventure', 'Comedy']",Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos.,Our fate is in their paws.
28,744275,en,After We Fell,625.512,7.4,766,"['Romance', 'Drama']","Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.",
29,839436,en,Dragon Fury,580.002,6,21,"['Horror', 'Fantasy', 'Mystery']",A group of soldiers are taken to the mountains of Wales to investigate a strange beast.,They thought they could control it. They were wrong!
30,864873,en,Hypnotic,514.169,6.2,214,"['Thriller', 'Drama', 'Horror']","A young woman seeking self-improvement enlists the help of a renowned hypnotist but, after a handful of intense sessions, discovers unexpected and deadly consequences.",His wish is her command.
31,354912,en,Coco,573.567,8.2,14756,"['Family', 'Animation', 'Fantasy', 'Music', 'Comedy', 'Adventure']","Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",The celebration of a lifetime
32,812204,en,Rock Dog 2: Rock Around the Park,611.612,7.6,25,"['Animation', 'Comedy', 'Music', 'Family']","When Bodi and his band 'True Blue' leave Snow Mountain, to tour with pop sensation, Lil' Foxy, they learn that fame comes at a price.",
33,379686,en,Space Jam: A New Legacy,525.266,7.3,2550,"['Animation', 'Comedy', 'Family', 'Science Fiction']","When LeBron and his young son Dom are trapped in a digital space by a rogue A.I., LeBron must get them home safe by leading Bugs, Lola Bunny and the whole gang of notoriously undisciplined Looney Tunes to victory over the A.I.'s digitized champions on the court. It's Tunes versus Goons in the highest-stakes challenge of his life.",Welcome to the Jam!
34,637649,en,Wrath of Man,541.957,7.8,2598,"['Action', 'Crime', 'Thriller']","A cold and mysterious new security guard for a Los Angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.",A one man army.
35,524369,en,The Many Saints of Newark,593.17,6.8,201,"['Crime', 'Drama']","Young Anthony Soprano is growing up in one of the most tumultuous eras in Newark, N.J., history, becoming a man just as rival gangsters start to rise up and challenge the all-powerful DiMeo crime family. Caught up in the changing times is the uncle he idolizes, Dickie Moltisanti, whose influence over his nephew will help shape the impressionable teenager into the all-powerful mob boss, Tony Soprano.",Who made Tony Soprano?
36,777620,en,Caged,475.873,6.6,39,"['Thriller', 'Horror']","An African American male is imprisoned and placed in solitary confinement after being found guilty of murdering his wife, as he's haunted by internal demons and his dead wife, and pushed to the breaking point by an abusive female guard.",There is no getting out.
37,831405,en,Injustice,563.221,8,339,"['Animation', 'Science Fiction', 'Fantasy', 'Action']","When Lois Lane is killed, an unhinged Superman decides to take control of the Earth. Determined to stop him, Batman creates a team of freedom-fighting heroes. But when superheroes go to war, can the world survive?",
38,681887,en,Cosmic Sin,503.598,4.4,363,['Science Fiction'],"In the year 2524, four centuries after humans started colonizing the outer planets, retired General James Ford gets called back into service when a hostile alien fleet attacks soldiers on a remote planet. The threat against mankind soon escalates into an interstellar war as Ford and a team of elite soldiers try to stop the imminent attack before it's too late.",First contact has been made. It's war.
39,337404,en,Cruella,510.735,8.3,5879,"['Comedy', 'Crime']","In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",Hello Cruel World
40,460465,en,Mortal Kombat,495.192,7.3,4000,"['Action', 'Fantasy', 'Adventure']","Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",Get over here.
